"id","SEX","AGE","PREFECTURE","JOB","一人暮らし","配偶者","家族","朝食の頻度","日食の頻度","外朝食の頻度","外日食の頻度","内朝食の頻度","内日食の頻度","作朝食の頻度","作日食の頻度","料理人","購入人"
9671,1,42,14,0,0,1,1,8,6.5,3.5,3.5,6.5,6.5,2.5,4.25,"配偶者","配偶者"
9672,2,49,24,0,0,1,1,8,8,2,2,6.5,6.5,6.5,5.5,"自分","自分"
9673,2,29,12,0,0,0,1,8,8,3.25,3.25,8,8,2,2,"家族","家族"
9674,1,46,25,0,0,0,1,6.5,6.5,1,1,6.5,4.75,1,NA,NA,NA
9675,1,39,7,0,0,1,1,4,8,4.5,4.5,3.5,2,3,2.75,"配偶者","配偶者"
9676,1,55,27,0,0,1,1,6.5,6.5,2.25,2.25,6.5,5,2.5,2,"配偶者","配偶者"
9677,1,32,13,0,0,1,1,5,6.5,4.25,4.25,5.5,5,2.5,1.75,"配偶者","配偶者"
9678,2,35,13,0,0,1,1,8,8,1.5,1.5,8,8,8,8,"自分","自分"
9679,1,53,23,0,1,0,0,6.5,6.5,2,2,6.5,6.5,2,2,"自分","自分"
9680,1,56,13,0,1,0,0,8,8,8,8,8,8,2.5,3,"自分","自分"
9681,2,32,29,0,0,0,1,6.5,6.5,3.5,3.5,6.5,3.75,6,4,"家族","家族"
9682,1,45,27,0,0,1,1,6.5,6.5,3.25,3.25,6.5,4.25,2,2,"配偶者","配偶者"
9683,2,52,4,0,0,0,1,8,8,2,2,8,5,7.5,5,"自分","自分"
9684,1,64,11,0,0,1,0,8,8,3,3,8,8,8,8,"自分","自分"
9685,1,42,24,0,0,0,1,8,8,2,2,8,8,8,8,"家族","家族"
9686,1,49,8,0,0,0,1,6,6,1.5,1.5,2.5,3.75,NA,NA,"自分","自分"
9687,2,63,1,0,0,1,1,8,8,1,1,8,8,8,8,"自分","自分"
9688,2,40,10,0,0,0,1,6.5,8,1.75,1.75,7,8,5.5,7,"家族","家族"
9689,2,33,36,0,0,0,1,6,8,2.5,2.5,6,8,4,2,"家族","家族"
9690,2,50,4,0,0,1,1,8,6.5,4.5,4.5,7.5,6.75,7.5,5.5,"配偶者","配偶者"
9691,2,51,33,0,0,0,1,8,8,8,8,8,8,5,1.75,"家族","家族"
9692,1,42,28,0,0,1,1,4.5,4.5,NA,NA,NA,NA,NA,NA,"自分","自分"
9693,2,34,13,0,1,0,0,6.5,5.5,NA,NA,8,NA,1,NA,"自分","自分"
9694,1,40,1,0,1,0,0,1,8,4.25,4.25,NA,4,NA,2.5,"自分","自分"
9695,1,43,14,0,0,1,1,8,8,4.25,4.25,6,4.25,5.5,NA,"自分","自分"
9696,2,51,12,0,0,1,1,6.5,6.5,2,2,1,1,NA,NA,NA,NA
9697,1,46,40,0,0,0,1,1,8,5,5,NA,6.25,NA,4,"家族","家族"
9698,1,42,26,0,0,0,1,6.5,6.5,1.25,1.25,1.5,1,NA,NA,NA,NA
9699,2,27,6,0,1,0,0,8,8,3.25,3.25,8,3,2.5,3.25,"自分","自分"
9700,2,63,14,0,0,1,0,8,8,2.75,2.75,8,8,8,8,"自分","自分"
9701,2,50,20,0,0,1,0,8,8,2,2,8,8,8,8,"自分","自分"
9702,2,57,1,0,0,1,1,8,8,1.75,1.75,8,8,8,8,"自分","自分"
9703,2,46,23,0,0,1,1,6.5,6.5,3,3,6.5,6,6.5,6,"自分","自分"
9704,2,54,17,0,0,1,1,8,6.25,NA,NA,8,NA,8,NA,"自分","自分"
9705,2,58,14,0,0,1,1,8,8,2,2,8,6.5,5,6.5,"自分","自分"
9706,2,61,40,0,0,1,0,8,8,2,2,8,8,8,8,"自分","自分"
9707,2,43,1,0,0,0,1,8,8,2.25,2.25,8,8,4.5,8,"自分","自分"
9708,1,28,9,0,1,0,0,6,6.25,3.25,3.25,4,6,NA,1,NA,NA
9709,1,51,18,0,0,0,1,1,6,2.75,2.75,NA,6,NA,6,"家族","家族"
9710,1,50,21,0,0,1,0,6,6.5,2,2,6,3.5,2,2,"配偶者","配偶者"
9711,1,63,34,0,0,1,0,8,8,1.25,1.25,8,8,8,8,"配偶者","配偶者"
9712,1,42,5,0,0,1,1,8,8,2.25,2.25,8,6.5,2,2,"配偶者","配偶者"
9713,1,39,22,0,0,1,1,6.5,6.5,4,4,6.5,4,6.5,4,"配偶者","配偶者"
9714,2,31,11,0,0,1,0,5.5,6,3.25,3.25,5.5,4.5,5.5,5.5,"自分","自分"
9715,2,48,7,0,0,0,1,8,8,2.25,2.25,8,8,8,8,"自分","自分"
9716,1,48,27,0,0,1,1,6.5,6.5,4,4,6.5,5.5,1,NA,"配偶者","配偶者"
9717,1,52,25,0,0,0,1,8,8,1,1,8,8,1,1,NA,NA
9718,1,48,11,0,1,0,0,6.5,6.5,1,1,6.5,6.5,6.5,6.5,"自分","自分"
9719,2,64,34,0,1,0,0,8,8,1.75,1.75,8,8,8,8,"自分","自分"
9720,1,41,23,0,0,1,1,8,8,3,3,8,8,2,2.75,"自分","自分"
9721,1,43,13,0,0,0,1,6.5,6.5,5.25,5.25,5.5,4,5.5,4.25,"自分","自分"
9722,1,45,27,0,0,1,1,8,8,2.75,2.75,8,6.5,8,8,"配偶者","配偶者"
9723,1,44,14,0,0,1,0,5,7.25,1.75,1.75,5,4.75,2,NA,"配偶者","配偶者"
9724,1,61,40,0,0,0,1,1,6.5,2.75,2.75,NA,4.75,NA,NA,"自分","自分"
9725,1,50,13,0,1,0,0,1,5.25,2.5,2.5,NA,5.25,NA,3.75,"自分","自分"
9726,2,26,39,0,0,0,1,8,8,3,3,8,8,8,8,"自分","自分"
9727,1,55,11,0,0,1,1,8,8,2,2,8,6.5,2,2,"配偶者","配偶者"
9728,1,58,7,0,0,0,1,8,8,1.5,1.5,8,8,1,1,NA,NA
9729,1,49,23,0,0,1,1,6.5,6.5,2,2,6.5,6.5,1.5,2,"配偶者","配偶者"
9730,1,44,8,0,1,0,0,6.5,6.5,3.25,3.25,6.5,4.25,1,NA,NA,NA
